bond_id;price_dirty;yield;duration
67959;103.441;0.021;2.41
68012;106.697;0;7.31
68017;103.133;0.017;2.44
68049;114.394;0.032;null
68055;100.035;0.167;2.1
68089;113.471;0.022;6.53
68099;104.463;0.02;2.87
68101;114.334;0.032;null
68222;46.841;null;null
68223;103.242;0.025;2.45
68239;100.226;0.167;2.09
68278;68;0.271;2.47
68285;103.952;0.023;null
68305;103.329;0.02;2.46
68309;51.5;null;null
68345;103.264;0.021;2.46
68368;67.917;0.271;2.48
68410;78.019;null;null
68416;100.688;null;null
68478;113.993;0.046;15.11
68779;109.524;0.033;6.46
68825;106.866;0.064;0.6
68846;100.44;null;null
68896;106.865;0.064;0.6
68981;109.937;0.034;6.46
69056;99.861;null;null
69327;103.549;0.061;2.38
69347;101.033;0.016;2.62
69454;423.607;null;null
69647;96.926;null;null
69671;96.926;null;null
69733;1.214;null;null
69981;82.904;0.146;3.64
70482;94.961;null;null
70990;99.532;0.016;1.47
71040;111.876;0.042;6.45
71064;106.281;0.031;6.81
71082;100.217;null;null
71228;107.649;0.027;6.89
71249;98.959;0.067;2.65
71297;99.059;0.067;2.63
71367;107.452;0.026;4.04
71392;80.45;0.411;0.88
71436;114.145;0.058;13.64
71440;112.857;0.025;6.84
71870;null;null;null
72361;33.254;0.356;3.81
72604;100.114;null;null
72738;100.711;0.028;2.89
73002;100.319;null;null
74171;110.242;0.042;15.99
74396;100.135;null;null
74606;22.271;1.08;1.52
74777;106.702;0.064;2.87
75050;95.628;null;null
75135;99.576;0.019;1.89
75191;100.093;null;null
75249;99.752;0.018;1.71
75961;25.28;0.616;2.43
76703;101.477;0.04;6.88
77235;104.079;0.026;2.91
77285;97.322;null;null
77599;97.322;null;null
78001;101.533;0.04;6.87
78383;54.911;0.96;0.96
78491;97.372;0.068;2.83
78627;97.316;0.068;2.84
78745;99.614;null;null
78892;54.911;0.96;0.96
79206;null;null;2.99
79787;101.671;0.097;2.69
80107;100.079;null;null
80130;100.079;null;null
80339;102.821;0.076;null
80565;22.271;1.08;1.52
80921;100.445;0.017;1.4
81382;20.208;0.787;2.23
81896;104.306;0.079;3.53
82278;103.418;0.033;2.98
82576;91.482;0.183;1.13
83219;202.179;null;null
83431;null;null;null
84015;130.158;0.04;7.23
84039;105.863;0.023;7.33
84068;100.632;0.017;3.15
84281;2.293;null;0.34
84891;104.278;0.049;1.8
84934;103.549;0.061;2.38
84948;100.015;null;null
85342;101.602;0.022;3.13
86105;122.773;0.03;17.92
86136;94.746;null;null
86157;104.076;0.026;1.9
86238;121.705;0.062;16.25
86813;100.142;null;null
86889;100.071;null;null
86980;100.062;null;null
87103;53;0.046;13.45
87357;93.993;0.094;3.04
87552;100.159;0.1;2.95
87606;100.146;0.1;2.95
87615;101.282;0.033;7.35
88284;64.257;0.211;3.37
88503;99.238;null;null
88626;99.672;null;null
89025;108.238;0.074;3.75
89052;97.322;null;null
89120;99.463;null;null
89175;101.14;0.028;3.35
89193;101.521;0.018;3.39
89227;43.415;0.834;1.34
89388;103.452;0.036;3.32
89419;83.955;null;null
89447;103.488;0.036;3.31
89548;103.16;0.022;3.38
89579;100.115;null;null
89597;104.908;0.045;3.23
89612;92.519;null;null
89634;55.572;0.278;3.57
89638;105.995;0.038;7.14
89731;104.143;0.033;7.34
90145;101.222;0.024;3.45
90342;101.579;0.023;3.48
90393;109.95;0.002;12.8
90581;100.497;0.025;3.51
90692;101.333;0.022;3.48
90824;0.842;null;0.25
90903;96.52;0.064;3.39
91233;98.702;null;null
91244;98.968;null;null
92175;null;null;null
93344;104.278;0.049;1.8
94363;99.45;null;null
94480;99.49;null;null
94655;99.589;null;null
95227;101.136;null;null
95435;100.896;0.033;7.82
95533;101.959;0.021;2.84
96370;98.276;0.029;4.83
96457;97.445;0.037;8.23
96912;98.89;0.033;3.91
97056;99.776;0.032;7.94
97163;99.749;0.032;7.94
97451;100.935;0.023;2.14
97599;88.62;0.058;7.55
97818;100.19;0.043;16.65
97922;100.226;0.043;16.64
98063;101.188;0.021;4
98158;91.75;null;null
102918;110.683;0.044;15.71
102926;100.518;0.011;0.04
102974;100.22;0.02;2.01
103040;113.484;0.048;3.54
103041;102.318;0.024;null
103072;100.337;0.026;3.55
103084;98.829;0.039;7.47
103097;100.554;0.032;5.24
103109;100.704;0.02;null
103113;106.863;0.029;1.06
103175;107.854;0.044;3.35
103293;100.336;0.055;5.13
103437;99.683;0.018;2.15
103454;103.792;0.043;null
103464;99.821;0.017;1.83
103483;101.727;0.03;3.94
103512;100.173;0.013;0.84
103535;100.661;0.033;5.2
103544;100.141;null;null
103551;100.04;0.015;1.25
103562;100.576;0.018;0.7
103567;101.715;0.038;null
103592;100;null;null
103597;105.613;0.023;1.02
103611;112.545;0.031;2.77
103631;100.573;0.02;4.05
103655;100.537;0.028;null
103665;99.993;0.024;2.9
103667;99.756;0.019;0.96
103670;102.205;0.024;2.33
103680;99.147;0.028;null
103684;100.256;0.051;null
103697;99.745;null;null
103820;104.286;0.046;7.06
103829;104.22;0.046;7.07
103934;102.06;0.032;7.38
103937;98.866;0.026;3.83
103955;82.662;0.078;11.42
103982;97.73;0.104;3.79
104154;91.663;0.08;6.16
104156;101.136;0.03;3.81
104178;89.389;0.175;2.19
104224;99.207;0.031;3.93
104232;99.49;0.023;null
104262;96.252;0.038;null
104283;103.386;0.053;3.52
104343;100.235;0.022;2.05
104534;102.155;0.064;4.96
104662;100.231;0.022;null
104670;100.375;null;null
104690;100.097;null;null
104705;89.505;0.089;6.07
104729;100.937;0.019;3.15
104759;100.735;0.024;null
104916;125.823;null;null
104922;106.615;0.044;7.02
105025;83.179;0.146;3.61
105043;103.956;0.012;0.9
105046;75.897;0.14;4.59
105110;85.9;0.096;5.55
105133;100.121;0.023;3.95
105180;53.464;0.591;1.41
105294;112.195;0.038;null
105369;66.635;0.195;3.15
105407;104.741;0.058;3.39
105432;93.219;0.116;3.1
105517;96.885;0.06;6.6
105534;102.658;0.04;3.64
105624;75.6;0.137;4.66
105695;100.896;0.049;5.93
105697;96.177;0.107;4.63
105718;69.041;0.125;5.98
105972;95.648;0.079;4.63
